website_url,cleaned_website_text,topic
0,https://www.travelocity.com/,bot create free account create free account sign account sign account human travelocity links global sites partner services skip main content welcome domaintext continue site ussitedomain close booking travel behalf saved hotels account menu point join expedia rewards low rate thousand hotel sign create account account trip reward sign menu hide menu shop travel vacation package hotels car flight cruise thing trip discover vacation rental travel deal inspire mobile list property account sign exclusive member discounts create account hello account account sign log account thing view shopping save trip support customer support manage trip feedback open new window español customer service toll free customer outside international call rate apply vacation package hotels car flight cruise thing trip discover vacation rental travel deal inspire mobile vacation rental inspire mobile begin main content create account sign google sign apple sign naver sign facebook apologize system failure try account exist authentication failure try action require finish create account click link send email address enter valid email address check enter email address correctly check enter email address correctly continue email sign try sign use email address create password send email travel deal special offer information sign create account agree term use open new window privacy policy open new window create account agree term use open new window privacy policy open new window expedia rewards terms conditions open new window account sign sign sign google sign apple sign naver sign facebook apologize system failure try enter unknown email address incorrect password authentication failure try routine security check reset account password rest assure account safe use forgot password link set new password email address password sign forgot password sign sign agree expedia rewards terms conditions open new window need account sign tell human bot human add property explore travelocity customer support press room advertising jobs tv ads privacy policy term use site map accessibility support sell personal information usa vacation package usa flights usa hotels usa car hire unique place stay travelocity merchandise travelocity guarantees subscribe create account travelocity reviews travelocity coupon code canada add property travelscape llc expedia group company right reserve travelocity stars design roaming gnome design trademark travelscape llc use web site constitute acceptance travelocity user agreement privacy policy cst,Travel
1,https://www.bravotv.com,bravo tv official site watch episode exclusive video bravo show include chef real housewives beverly hills vanderpump rules main menu main menu home page ashley darby open explosive finale party popular show belowdeck rhoa rhoc rhop rhoslc wwhl tonight pm deck pm deck pm deck pm bravo movie club editor picks shannon checks daughter test positive need know atlanta new wife drew sidora patricia altschul give men permission crazy lisa barlow people queen sundance kim zolciak biermann let clip wig fly grand canyon captain lee end charter early deck trend video watch episode bravo influencer shop bravo stream bravo peacock watch bravo live way watch bravo involve stay connected bravo stay connected bravo skip main content home shows episodes videos news schedule shop bravo insider toggle menu sign log show show deck bravo chat room not tardy life bravo race america southern charm real housewives atlanta real housewives dallas real housewives orange county real housewife potomac real housewife potomac real housewife salt lake city watch happen live andy cohen episodes videos episode trend video watch live tv peacock news daily dish style live podcast schedule shop bravo insider tv provider bravo insider sign log profile manage profile email preference sign real housewife potomac watch watch video show pm new pm new pm pm schedule real housewives orange county real housewives orange county real housewives atlanta real housewives atlanta southern charm southern charm real housewife salt lake city real housewife salt lake city tardy tardy deck deck view view watch share opinion feedback favorite tv show find perfect gift bravo lover life shop imani watch video favorite show online anytime watch download bravo app bravo iphone android apple tv roku amazon fire tv buy episode itunes google play amazon vudu faq privacy policy sell personal information term conditions close caption accessibility html sitemap bravo apps support shopping support join viewer voice casting bravo careers contact adchoices facebook twitter instagram youtube pinterest newsletter facebook twitter instagram youtube pinterest newsletter home bravo media llc division nbcuniversal,Streaming Services
2,http://www.kasrl.org/jaffe.html,japanese female facial expression jaffe dataset zenodo specifications japanese female expresser posed facial expressions basic facial expression neutral image expression expresser image total image average semantic rating facial expression japanese viewer resolution 256x256 pixel grayscale tiff format compression documentation article link image dataset plan assemble michael lyons miyuki kamachi jiro gyoba kyushu university japan jaffe image non commercial scientific research certain term use accept access datum follow article describe jaffe image photograph michael lyons miyuki kamachi jiro gyoba code facial expressions gabor wavelets ivc special issue follow article give historical background jaffe michael lyons excavating excavating ai elephant gallery japanese female facial expression jaffe dataset restricted access zenodo doi badge doi markdown badge restructedtext image target html badge image url target url version share cite export blog help developer contribute fund toggle navigation upload communities log sign april dataset restricted access lyons michael kamachi miyuki gyoba jiro specifications japanese female expresser posed facial expressions basic facial expression neutral image expression expresser image total image average semantic rating facial expression japanese viewer resolution 256x256 pixel grayscale tiff format compression documentation article link image dataset plan assemble michael lyons miyuki kamachi jiro gyoba kyushu university japan jaffe image non commercial scientific research certain term use accept access datum follow article describe jaffe image photograph michael lyons miyuki kamachi jiro gyoba code facial expressions gabor wavelets ivc special issue follow article give historical background jaffe michael lyons excavating excavating ai elephant gallery image provide cost non commercial scientific research agree condition list request access download file request access file upload provide fulfil condition decision grant deny access solely responsibility record owner jaffe image non commercial scientific research use require advance approval follow allow redistribution derivative jaffe dataset incl github kaggle colaboratory etc post jaffe image web social medium public exhibition jaffe image museum gallery etc broadcast mass medium tv show film etc contact question uncertainty term use source image acknowledge cite follow article michael lyons miyuki kamachi jiro gyoba code facial expressions gabor wavelets ivc special issue apply download datum provide follow location university research institute position graduate student research assistant professor etc short description use image line sufficient provide required information request reject request access reference michael lyons excavating excavating ai elephant gallery michael lyons shigeru akamatsu miyuki kamachi jiro gyoba code facial expressions gabor wavelets 3rd ieee international conference automatic face gesture recognition pp open access content available beta citations view download detail version version view download datum volume gb gb unique view unique download info stat collect indexed publication date april doi doi markdown badge restructedtext image target html badge image url target url facial expression image image dataset facial expression recognition facial expression cognition emotion affect version apr cite version cite version doi doi represent version resolve late read bibtex csl datacite dublin core dcat json json ld geojson marcxml mendeley policies infrastructure principles contact blog faq feature rest api oai pmh github donate status privacy policy term use support power cern data centre invenio,Computers and Technology
3,http://www.accrepairs.com/,acc repair guy page repair amateur radio repeater controllers advanced computer controls dvr acc dvr link radio advanced computer controls repeater controller autopatch repeater remote base shackmaster amateur radio welcome acc repairs advanced computer control repair longer keeping acc controller air year close business dvr decide close repeater controller repair business great run love keep acc controllers air controller repair september project work acc repairs controller repair keep busy work project try bring market time slip away come well complete recomendation look allstar link repeater controller ham voip thank support year paul,Business/Corporate
4,https://www.essentiallysports.com/,essentiallysports fan perspective sports news portal fan cover mma tennis f1 nba news video score deliver fan perspective kendrick perkins predicts talen horton tucker recieve young kobe bryant like treatment lakers watch celtics give peek jayson tatum jaylen brown intense practice sessions clutch nick kyrgios hail andy murray outstanding record trending posts rise american tennis star matches terrific record set bianca andreescu thrilling eugenie bouchard watched match season organizers wta tournament urgently search ball kids watch rain wreaked havoc nascar xfinity series playoff race charlotte roval tennis rise american tennis star matches terrific record set bianca andreescu thrilling eugenie bouchard watched match season organizers wta tournament urgently search ball kids watch darren cahill prepares simona halep australian open miles away nicest guy alex de minaur open camaraderie nick kyrgios mma fight kevin holland sense khamzat chimaev dana white ominous tony ferguson future ufc tony ferguson finish devastating loss tony ferguson stand chance khabib nurmagomedov khabib nurmagomedov manager mocks tony ferguson jiu call white belt watch ufc announcer bruce buffer end relationship iconic voice f1 video ferrari sebastian vettel unforgettable sendoff abu dhabi gp watch sebastian vettel treats ferrari crew beer final race red daniel ricciardo believed sebastian vettel join red bull verstappen catches lewis hamilton surprise mercedes engine mystery mercedes f1 explain reason turn engine abu dhabi gp nba want cut heart teammate describe extent michael jordan competitive nature watch lakers lebron james pump talen horton tucker amazing performance clippers twitter pokes fun lavar ball detroit pistons cut lose liangelo ball debut donovan mitchell pokes fun celtics jayson tatum lie height lakers marc gasol credits coach frank vogel creative debut performance clippers nba champion feel threaten kevin durant stellar debut brooklyn nets latest saul alvarez canelo alvarez real reason nickname watch rare weapon fortnite legendary ufc fights joseph parker backs tyson fury claim stop anthony joshua inside rounds nascar legend richard petty reveal earn king nickname stuck boxing cricket e sports f1 formula e alfa romeo ferrari mercedes red bull toro rosso williams football la liga athletic bilbao atletico madrid barcelona sevilla real madrid premier league arsenal chelsea everton liverpool manchester city manchester united tottenham ac milan inter milan juventus napoli nascar nba nfl tennis australian open french open wimbledon ufc wwe explore badminton baseball cycling golf motorsports swimming boxing cricket e sports f1 formula e alfa romeo ferrari mercedes red bull toro rosso williams football la liga athletic bilbao atletico madrid barcelona sevilla real madrid premier league arsenal chelsea everton liverpool manchester city manchester united tottenham ac milan inter milan juventus napoli nascar nba nfl tennis australian open french open wimbledon ufc wwe explore badminton baseball cycling golf motorsports swimming basketball kendrick perkins predicts talen horton tucker recieve young kobe bryant like treatment lakers aditya mohapatra december min read basketball watch celtics give peek jayson tatum jaylen brown intense practice sessions yashima bhatia december min read tennis clutch nick kyrgios hail andy murray outstanding record kshitij tayal december min read tennis rise american tennis star matches terrific record set bianca andreescu arjun athreya december min read news thrilling eugenie bouchard watched match season rohan kollare december min read tennis organizers wta tournament urgently search ball kids bhavishya mittal december min read nascar watch rain wreaked havoc nascar xfinity series playoff race charlotte roval dhruv george december min read tennis rise american tennis star matches terrific record set bianca andreescu future bright tennis world fill talented arjun athreya december min read thrilling eugenie bouchard watched match season december min read organizers wta tournament urgently search ball kids december min read watch darren cahill prepares simona halep australian open miles away december min read nicest guy alex de minaur open camaraderie nick kyrgios december min read mma fight kevin holland sense khamzat chimaev kevin binoy december min read mma dana white ominous tony ferguson future ufc apratim banerjee december min read mma tony ferguson finish devastating loss kevin binoy december min read mma tony ferguson stand chance khabib nurmagomedov darryl pinto december min read mma khabib nurmagomedov manager mocks tony ferguson jiu call white belt kevin binoy december min read mma watch ufc announcer bruce buffer end relationship iconic voice darryl pinto december min read f1 video ferrari sebastian vettel unforgettable sendoff abu dhabi gp farewells somber affair bid goodbye close sad involve indrasish ganguly december min read watch sebastian vettel treats ferrari crew beer final race red december min read daniel ricciardo believe sebastian vettel join red bull december min read verstappen catches lewis hamilton surprise mercedes engine mystery december min read mercedes f1 explain reason turn engine abu dhabi gp december min read basketball want cut heart teammate describe extent michael jordan competitive nature yashima bhatia december min read basketball watch lakers lebron james pump talen horton tucker amazing performance clipper aaditya krishnamurthy december min read basketball twitter pokes fun lavar ball detroit pistons cut lose liangelo ball debut sourabh singh december min read basketball donovan mitchell pokes fun celtics jayson tatum lie height yashima bhatia december min read basketball lakers marc gasol credits coach frank vogel creative debut performance clipper sourabh singh december min read basketball nba champion feel threaten kevin durant stellar debut brooklyn nets yashima bhatia december min read boxing saul alvarez canelo alvarez real reason nickname canelo alvarez need introduction boxing fan great step squared ring multi divisional champion raj sarkar december min read esports watch rare weapon fortnite legendary course chapter season epic games add lot item fortnite range common rarity legendary base different factor epic shwetang parthsarthy december min read mma ufc fights ufc unthinkable year sport world face long period shutdown dana white ufc manage push pandemic ishaan bhattacharya december min read boxing joseph parker back tyson fury claim stop anthony joshua inside rounds wbo heavyweight champion joseph parker speak ifl tv follow massive win accrue recently rival anthony joshua earn ninth round stoppage win game challenger kubrat pulev darryl pinto december min read nascar nascar legend richard petty reveal earn king nickname stuck history nascar racing incomplete presence mighty richard petty seven time champion alongside dale earnhardt jimmie johnson division petty living bhargav gopal december min read post quick link term use authors es join essentiallysports contact privacy policy touch facebook twitter scroll boxing cricket e sports f1 formula e alfa romeo ferrari mercedes red bull toro rosso williams football la liga athletic bilbao atletico madrid barcelona sevilla real madrid premier league arsenal chelsea everton liverpool manchester city manchester united tottenham ac milan inter milan juventus napoli nascar nba nfl tennis australian open french open wimbledon ufc wwe explore badminton baseball cycling golf motorsports swimming term use authors es join essentiallysports contact privacy policy facebook twitter social media auto publish power press esc close,Sports
5,https://secondlife.com/,official site second life virtual world virtual reality vr avatars free 3d chat second life official website second life free 3d virtual world user create connect chat world voice text virtual world virtual reality vr avatar avatars 3d online chat second life adventure creator earn money explore second life creativity entertainment social real estate education business popular destinations meet real second life resident linden lab tilia second life connect partner language english 日本語 deutsch français español português italiano türkçe русский login sign discover incredible experience fascinate people vibrant community vast virtual world learn join free express create imagine learn join free start business earn real profit virtual world learn join free sl create people like unique 3d content social experience share sell global marketplace learn endless fun await virtual world game live music new enjoy music roleplay games romance fashion know meet sl connect interesting people world learn select developed undeveloped land start create dream home personal space business learn create engage interactive 3d learn experience eligible organization receive discount virtual land learn start virtual business earn real profit year roughly million usd pay creator learn editor picks featured event trending beginner picks destination check drax file world makers video series hear people create amazing thing second life watch contact jobs press term service privacy policy customer service licenses marketplace destination guide enterprise education premium places download blog facebook instagram twitter youtube flickr support email preferences business development affiliate program sl terms conditions ll term service ll privacy policy cookies copy linden research rights reserve,Social Networking and Messaging
6,https://iphonephotographyschool.com,iphone photography school iphoneography tips tutorials discover incredible iphone photo adore proud look year later iphone photography tip tutorial incredible iphone photos adore proud look year later right place photo page send reader shoot edit iphone help real photography iphone free video reveal hidden iphone camera feature photographer use tutorials interviews news updates good iphone photography apps free report reveal good iphone photography apps join subscriber receive free iphone photography email tips free video reveal hidden iphone camera feature click menu online courses blog start tutorial get start iphone camera taking photos creativity photo editing photo app tutorials contact log like incredible photo camera pocket time bulky photography gear complex photo editing software stand way creativity love take photo iphone figure capture simple snapshot start common iphone photography misconception iphone photography dslr camera technically superior quality photo depend photographer intent creative vision photographer catch buy late photo gear think help well photo camera good photo photographer idea iphone like camera tool tool poor outstanding photo right knowledge right technique use iphone photo great believe take iphone site create help photographer well photo iphone people dslr start video get start iphone camera taking photos photo editing creativity landscape photography portrait photography children photography street photography photo editing photo apps photo accessorie photography events iphone news getting start iphone camera taking photos photo editing creativity landscape photography portrait photography children photography street photography photo editing photo apps photo accessorie photography events iphone news free download free download send tips term conditions privacy policy contact photography pro ips media llc website affiliate apple wait free video reveal hidden iphone camera feature photographer use enter email enter valid email address video free video reveal hidden iphone camera feature photographer use enter email enter valid email address video thank enter email enter valid email address,Photography
7,https://www.nytimes.com/,new york times breaking news news world news videos live news investigation opinion photo video journalist new york times country world subscribe coverage international news politics business technology science health art sport news live update late news break news local news current event story livestream live video world news news listen daily neediest cases fund got confidential news tip vaccination begin nation virus toll near early shot high risk health workers priority new report case new case change day vaccine arrives new york hard hit outbreak early day deaths approach milestone obituaries force reckoning virus electoral college vote begin country electoral college results state long honor serve electoral college voter headache trump voter believe election steal year sports everybody lose restaurant thought bad new york city restaurant wonder survive headache manager say russian hackers break federal agencies official suspect big tech turn lobbyist loose europe alarming regulators exxon mobil pledges lower greenhouse gas emissions google dominates thank unrivaled view web china combative nationalists world turn way cleveland baseball team drop indians team opinion trump believe democracy ode times get vote matter twitter facebook huge problem georgia secretary state stand trump book easy wrap autonomous vehicle big leap people actually pretty great year pound pound taiwan important place world republicans embrace nihilism test lifetimes let stop fail editor pick silent night scene pandemic christmas beethoven 250th birthday greatness detail learn week season advertisement site index site information navigation continue read main story section search skip content skip site index international canada español 中文 today paper world politics business opinion tech science health sports arts books style food travel magazine t magazine real estate video world politics business opinion tech science health sports arts books style food travel magazine t magazine real estate video approve vaccine face friction entrepreneur readjust meet need times like hear reader want share message material journalist live dose expect give high risk health care worker today hospital track shipment rush set injection site hour report white house plan fast track vaccine staff president trump reverse course late queens pool photo mark lennihan providence david goldman associated press louisville pool photo michael clevenger ottawa canada canadian armed forces reuters dharmsala india ashwini bhatia associated press vaughan canada cole burston canadian press ap linton tim gruber new york times chandler adriana zehbrauskas new york times landsdale kriston jae bethel new york times new report case hot spot new case change day united states average india total case brazil mexico canada new case world photos curve world case nurse queens receive coronavirus vaccine news conference andrew cuomo family perish write pointedly virus tell agonizing final day plead people wear mask live elector start gather cast vote officially designate joe biden president elect late track member electoral college vote usually operate radar year elector thrust cross hair extraordinary effort overturn result certain election fraudulent sure skepticism critical implication american democracy year sports everybody lose wisconsin microcosm devastation pandemic bring sport industry rely conspire new york city food drink business pete wells write indoor dining take away russian hackers break federal agencies officials suspect email system breach treasury commerce departments sophisticated large hack year big tech turn lobbyist loose europe alarming regulators silicon valley build powerful influence industry brussels see kind money spend way jack taylor live company say reduce emission percent compare level late live regulator seek way curb company power focus vast index hundred billion web page search engine china combative nationalists world turn way china communist party push narrative virus prove superiority authoritarian model message find fan home china authoritarian system proponent different west democracy prove superior kevin frayer getty images cleveland baseball team drop indians team decision come amid wide push sport team stop native american name imagery team name mascot shane bieber win american league cy young award cleveland team uniform option incorporate aaron doster associated press charles blow want wield power win legitimately tala schlossberg think lose mind jesse wegman greg weiner margaret renkl kara swisher eve peyser ruchir sharma editorial board nicholas kristof silent night scene pandemic christmas photographers country capture pandemic bring holiday tradition halt brahms wagner sondheim follow great master build work small bit music chiefs need perfection win steelers continue lose streak east remain wide open continue read main story like thought new york times home page experience let know think new york times company nytco contact work advertise t brand studio ad choice privacy policy term service term sale site map canada international help subscription,News
8,https://deliciouslyella.com/,deliciously ella live well useful vegetable cool welcome deliciously ella site celebrate natural honest food create simple ingredient visit store today shop product shop breakfast snack recipe recipe video app yoga video cookbooks week podcast gabby bernstein self worth rock judgement deli free shipping order uk eu account basket recipes shop shop products breakfast snacks cookbooks gift card brands love clothing skin body care cookware dining candles home fragrance health wellness products app cookbook podcast deli basket basket shop cookbooks app deli plant base deliciousness buy online recipe watch recipe video healthy plant base recipe instructional video meal planner shopping list step step image plant base cook easier download app watch yoga video new plant base recipe bestselle author ella mills ella late book feature popular try test recipe supper club pop up deli delicious abundant plant base cooking cookbook lead wellness speaker gabby bernstein talk shift lens life lead create ease joy calm centre importance internalise self worth listen podcast deli weighhouse street yard oxford street locate quiet corner offer bright vibrant space visit friend enjoy plant base goodness menu deliciously ella resource help live well vegetable cool start personal blog evolve app recipe book deli range plant base food product delivery returns privacy cookie policy terms conditions sustainability contact deliciously ella right reserve site activation register england wales company number register office vincent square london united kingdom sw1p 2pn deliciously ella register delaware file number address c o global mail upland drive pmb houston tx recipe shop shop products breakfast snacks cookbooks gift card brands love clothing skin body care cookware dining candles home fragrance health wellness products app cookbook podcast deli,Food
9,http://www.boardgamegeek.com/game/5120,,Games
10,https://www.epicurious.com/,,Food
11,https://jd.com/,,News
12,https://news.com.au/,,News
13,https://dw.com/,,News
14,https://foxnews.com/,,News
15,https://reuters.com/,,News
16,https://intuit.com/,,Finance
17,https://fidelity.com/,,Finance
18,https://corporatefinanceinstitute.com/,,Finance
19,https://ft.com/,,Finance
20,https://reuters.com/,,Finance